,FP_text,FP_index
514,gay man and his mom open up about beautiful viral hidden camera coming out video,55063
515,lone man tries to take on a crowd of looters in ferguson,11055
516,wasted cash in the us fishing industry,6034
517,doctors repeatedly overprescribe antibiotics and narcotics,15508
518,childish gambino releases new song 'candler road',26651
519,russians mint 'in trump we trust' coin ahead of u.s. inauguration,878
520,a christmas miracle,51661
521,house democrats on record-breaking fundraising pace,19996
522,"florida man killed after standing up for gay friends, witnesses say",20085
523,coal baron: subsidize coal 'to make sure grandma doesn't die on the operating table',2983
524,there's finally a museum devoted to telling the story of hbcus,43059
525,tim scott: every senator should read coretta scott king,53411
526,preventing 'madmen' from getting their hands on nuclear material,48493
527,woman claims to reenact michael phelps affair in 'going for the gold' porno,32164
528,fans erupt over fate of elias koteas' olinsky on 'chicago p.d.',3537
529,reporter leads rescuers to truck driver trapped in 10 feet of water,33001
530,weinstein scandal inspires models to share stories of abuse in their industry,10693
531,"d23's adam sanderson sees social media, digital technology as the smart way to grow disney's official fan club",30639
532,first nighter: two gentlemen of veronaon screens big and bold,7225
533,olympic figure skater cosplays jaime lannister for 'game of thrones' routine,50849
534,journalists flock to cnn debate they could better watch from home,47348
535,rand's filibuster two-fer,39212
536,sources: trump administration tells epa to cut climate page from website,43368
537,banksy exhibit inspires ex-drug addict to change his own life through art,1579
538,smart earplugs aim to improve your sleep quality by taking noise-blocking to the next level,37375
539,jerked around after all these years,45312
540,house passes dead-on-arrival bill to address border crisis,27531
541,gay olympian finds 'silver lining' in broken thumb: he won't have to shake pence's hand,21250
542,good stock farm: a great new cooking school,37592
543,"media figures tout trump's 'presidential' shift, but his divisive policies remain the same",34397
544,hillary clinton sends pizza to fans camping out overnight for her book signing,1158
545,nana finally makes it to never land in battle for the book!,54484
546,"obama, biden endorse tammy duckworth for senate",44194
547,police chief busted for parking on sidewalk does the honorable thing,32541
548,prince charles voted next commonwealth leader after queen's endorsement,25242
549,"clinton, hours before 9/11 attack, said he 'could have killed' bin laden",24651
550,totally not drunk new mexico governor chastises cops for breaking up her hotel party,1877
551,hollywood talent agency ditches usual oscar party in favor of anti-trump rally,43427
552,armed citizens are now guarding military recruiting centers after chattanooga shooting,47810
553,'it's complicated': how i learned to fend off that question,50965
554,pilot was locked out of cockpit before alps crash,28379
555,prank changes highway sign to reference 'christmas vacation',22933
556,war in afghanistan: enough is enough,25468
557,sign off the internet and start reading outside,42291
558,celebrity collector: alison sweeney,31278
559,iran vows 'firm response' unless obama stops sanctions renewal,5387
560,dodgers co-owner magic johnson goes bonkers watching team romp to world series,5634
