,headline,is_sarcastic
10265,olympic drug testing official left horribly disfigured after coming into contact with russian urine,1
41610,chris hemsworth deputizes hunk to assume 'sexiest man alive' duties in his absence,1
8523,donald trump responds to alicia machado by bragging he saved her job,0
44759,ron paul withholding presidential endorsement until true libertarian candidate enters race,1
45494,comments mysteriously disabled on youtube video of sparrow in yard,1
15661,bathroom too disgusting to shit in,1
11727,the easiest step-by-step guide to start traveling,0
3070,barbra streisand says it was 'heartbreaking' to see hillary clinton lose the election,0
22653,man briefly forgets hotel staff are not humans,1
15122,cbs: l.a. doctors not some kind of joke,1
25328,south korea's ousted leader arrested on bribery charges,0
53643,report: nurse who fought ebola quarantine to leave maine,0
53884,gladys knight sues to remove name from chicken and waffle restaurant,0
17575,the world bank's role in a bloody land war,0
54489,man completely blindsided by seemingly normal stranger telling him to 'have a blessed day',1
36414,antidepressant medication label reminds users that pill should never be mixed with long look in mirror,1
7759,supreme court told to take down tip jar,1
26702,pentagon to withhold budget figures out of respect for american families,1
5878,flu clinic selling 2009 version of vaccine for a few bucks cheaper,1
31368,air pollution linked to millions of premature births around the globe,0
7914,arab countries offer to join airstrikes against isis,0
3819,man from future can't stop living in the less-far-into-the-future,1
37018,he looks at tuberculosis death toll and wonders why you're not worried,0
32249,"america, the next hobby lobby case is heading for the supreme court",0
51015,get your quick and dirty arts education with haiku reviews,0
39407,put on your damn swimsuit,0
53527,confused zoo officials awkwardly celebrate after endangered panda gives birth to healthy northern white rhino,1
9430,slovakia's prime minister fico quits amid crisis over murdered journalist,0
40935,saudi crown prince begins 100 hours of court-ordered community service for murdering jamal khashoggi,1
54813,the naked truth,0
6379,study: 63% of all human speech occurs under breath,1
40467,educated bigot that much more terrifying,1
46481,zoomed out: an #alohahuffpost roundup,0
33090,"aunt somehow got married, divorced twice since last time nephew saw her",1
30138,michael jordan displeased with this week's burnt offerings,1
2253,the white house's 'week of inclusion' can't undo all these exclusionary trump policies,0
8290,activist l.a. priest preaches religion of acceptance,0
25917,michael j. fox visibly excited by return to tv,1
18456,motivational tape gets man excited for 20 minutes,1
7567,soldier excited to take over father's old afghanistan patrol route,1
2881,report: nuclear arsenal will go bad unless used by 2000,1
25462,adorable girls sum up why we need more landmarks named after women,0
46511,"lawsuit against uber by driver charged with murder a hoax, court says",0
33060,"come to listen, mr. president",0
19535,1930s comedian pretty sure he's outsmarted murphy bed,1
39299,"lightning bolt blasts washington monument as mike pence, pete buttigieg locked in battle of prayers on national mall",1
55174,china discontinues state surveillance program after finally finding guy who drove into xi jinping's mailbox,1
50852,"immigrants, they get the job done in amazing new 'hamilton mixtape' video",0
42029,"right next door: matthew mcgorry, actor",0
21713,the tr*mp effect: transgender folks' mental health post-election,0
55,new 'star wars' film once again disappoints die-hard nien nunb fans,1
6248,trump's fec pick worries watchdogs,0
44725,berserk hairdresser cuts bangs without permission,1
35179,"trump promised senator no federal crackdown on legal weed, but who even knows",0
24433,out-bad chronicles: fantasy from hell,0
36501,moron stepfather takes care of child who doesn't have his genetic material,1
21331,senate: 'renewed fisa legislation imperative in protecting the few american freedoms that will remain',1
32736,oops: hot mic broadcasts al roker going to the bathroom,0
10852,how many of the hundreds of thousands of untested rape kits in the us are in your city?,0
13999,bitcoin plunge reveals possible vulnerabilities in crazy imaginary internet money,1
30670,the anti-gay right can't run forever from its history of bigotry,0
53353,the dawn of old face: turning 30 is all the terrible things they said it would be,0
31156,woman stalked across 8 websites by obsessed shoe advertisement,1
50762,mom dishing up her famous comments about your body this thanksgiving,1
46202,stylin' with pete king or how to dress for a world in crisis,0
11276,asimo tricked into falling down stairs,1
14290,corrugated-cardboard lobby once again rates all 535 congressmen 'poor' on corrugated-cardboard-related issues,1
16332,obamacare premiums will be way higher next year. they didn't have to be.,0
29748,loft discussed at loft party,1
13888,'it's the heart of mississippi': meet the people of oxford,0
46543,fox news stars at the gop convention really don't want to talk about roger ailes,0
14699,iowa board of tourism launches 'des moines is des perate' campaign,1
42258,ford: new f-150 pickup truck capable of crushing a big turtle in one go,1
43689,5 of the most interesting restaurants in the world,0
9196,u.s. tourist was detained in north korea  for leaving bible in a bathroom,0
17372,bully tragically trusted to sign arm cast,1
7956,voter turnout reaches all-time low of 17,1
17326,naked leadership,0
28584,this t. rex dominates 'american ninja warrior' course like it's no big deal,0
23242,"teen zebra doesn't give a shit how much you honk, he's not getting out of road",1
1500,"after seeing this, you're going to want to run to banana republic",0
35490,poll finds hillary clinton candidate most americans want to have 8-ounce glass of tap water with,1
1093,congressman says new york city gunman got 'raw deal',0
38867,man unsure how to expose self to woman he likes without coming off as a creep,1
42505,gop attacks christine blasey ford for never coming forward to testify,1
50968,alan turing and the five sigma theory of progress,0
50500,colorado sheriff accused of sexually assaulting inmate with developmental disabilities,0
40493,"bush, loafers thrown at him reunite on nbc for 10-year anniversary special",1
5376,time for a brand new site for israel-palestine peace talks,0
51007,house vote maintains military ability to jail people without trial,0
24003,dutch embassy feels driven to fact-check trump's islamophobic retweet,0
28676,man can't believe obama would use tragedy to push anti-tragedy agenda,1
22483,the world bank accidentally left me a voicemail discussing their strategy to downplay rights abuses,0
48907,it aint over...till it's over!,0
5873,how a mom's behavior might be alienating her teen daughter,0
47405,a muslim american mother's fears and hopes at dawn of the trump era,0
24711,what cutting americorps would mean for public lands,0
51438,"christie describes isis as grave, towering, meaty threat to u.s. while staring at diner patron's corned beef sandwich",1
50053,orrin hatch delivers farewell address from coffin descending into plot dug in middle of senate floor,1
28887,16 tweets that define what it means to be an introvert,0
30160,u.s. falls short of success,1
22164,friend who's into politics makes you feel stupid again,1
5395,princeton students confront university president over woodrow wilson's legacy,0
12132,"my ""aunt hillary""",0
5047,a life with ocd,0
16110,man bragging about how infrequently he receives dental care,1
30305,blizzard bringing back original 'world of warcraft' so thousands of gamers can relive most depressing era of their lives,1
18238,white house finally reveals whether donald trump has confidence in jeff sessions,0
7237,nation's voyeurs watch women's march on washington from bushes,1
27366,pallbearers carry leslie nielsen's coffin without incident,1
18168,the groundbreaking queer comedy series 'take my wife' is back,0
36554,hanes introduces new no-way panties,1
39854,"'it's been an honor, gentlemen,' shift supervisor says as giant vat of molten cheese erupts",1
31132,kavanaugh nomination falters after washington post publishes shocking editorial claiming he forgot daughter's piano recital,1
36415,donald trump expects the media to do what he wants -- because it often does,0
10800,popular designer dog breed just twisted spinal cord attached to collapsed lung,1
47928,longtime employee given small pewter object,1
13900,podcaster makes solemn promise to improve sound quality next episode,1
47389,should i eat it? a dining guide for toddlers,0
9186,"child baffled by stationary, non-violent images",1
51703,chloë sevign̈y approved for second umlaut,1
22790,high school nurse getting pretty good at spotting morning sickness,1
1338,"my grandmother taught me to love mississippi, but our state flag represents hate",0
48435,the warwick rowers' calendar apparently deemed 'gay propaganda' in russia,0
46084,important piece of paper tragically smudged with breadstick grease,1
22606,huffpost hill - please clap: 2016 nearly over,0
18973,citizens to vote on young or old reagan for $15 bill,1
5250,"car crashes straight through restaurant window, injuring 4",0
38610,4 new trumps shaking fast track's house of (trading) cards,0
30694,a tribe called quest's phife dawg will have a street named after him,0
44358,senior pretty checked out during entire final year,1
22095,john boehner blasts obama over pace of reform at department of veterans affairs,0
47338,heroic prego advertisement replaces refreshed webpage's presidential campaign banner,1
18061,love your skin in your 50s and beyond,0
18020,dietary supplements send thousands to the er each year,0
7857,3 unique and unusual tips to be financially fit in 2015,0
25322,"jedi chipmunks fight with lightsabers, universe wins",0
23558,don't march if you won't keep walking,0
6467,colbert: fbi is so far up trump 'they're reading his emails with a proctoscope',0
41523,rosemary kowalski: imagining beauty,0
9396,the consumer financial protection bureau: a government agency for promoting growth,0
22026,man honestly thought breakdown would be more obvious to people,1
12293,college residence office gets kick out of pairing up few roommates who will fucking hate each other,1
3989,here's why french queer activists hung a banner against french president macron,0
55033,"doctor says lover gave him poisoned, 'sweet' coffee",0
54308,the public health threat of private anger,0
18008,"town still can't think of name for largest, most used street",1
54290,out-of-style woman still has last season's body issues,1
38090,queen elizabeth annoyed nude pictures of prince harry don't show anything good,1
1183,a nobel prize for sustainable fashion,0
31500,hawaii supreme court hears case against controversial telescope,0
10894,dj khaled was 'talking mogul talk' with arianna huffington at white house correspondents' dinner,0
34424,'motorcycle bomb' explodes near police station in istanbul,0
38071,lush unveils new line of anti-aging youthful maiden bloodbombs,1
8580,technology unfortunately allows distant friends to reconnect,1
55220,"mr. trump, 17 presidents before you protected our national parks. will you?",0
25624,nation surprised it took so long for primaries to weed out candidate with genuine principles,1
54470,"young democrats prefer bernie sanders, new poll finds",0
27450,lessons from a president's day accident,0
8278,bernie sanders' our revolution gets behind tom perriello in virginia gubernatorial race,0
52013,the fallen served for our freedom,0
50045,"'we will never speak of this again,' says trump to mohammed bin salman as they dump khashoggi's body into new jersey river",1
47008,new alternative-fuel suv will deplete world's hydrogen by 2070,1
264,on pilgrimage in india,0
14797,the geography of food stamps: cuts could hurt rural areas harder,0
20173,everyone in sporting goods store looking for something to get on stepson's good side,1
6362,nra: 'please try to remember all the wonderful things guns do for us every day',1
39507,the smithsonian seeks to preserve the gazebo where tamir rice was killed,0
46344,open letter to pope francis: help save my vocation,0
22549,charlie rose presses self about sexual harassment allegations in tense charlie rose interview,1
41391,how i navigated my first 7 years of sobriety,0
48549,the u.s. can't afford to continue the death penalty,0
39752,shop class in rich school district just teaches students how to deal with general contractors,1
4023,obama adviser john podesta's biggest regret is not getting ufo files released,0
36736,pennsylvania's congressional delegation will no longer be all men,0
9592,turning 65? here's when you should enroll in medicare,0
48576,app knows it's gone next time man needs space for photos,1
13452,photos of janet jackson's style evolution through the years,0
33309,power of pride,0
21578,report: mom saw car that slid off road into ditch,1
21165,barack obama makes last-minute push to block saudi 9/11 bill,0
8282,united airlines skips senate deadline to explain passenger-dragging incident,0
28473,fan at dodger stadium gets really comfortable,0
52083,scott pruitt tosses another pvc tube on campfire,1
37859,man worried any crazy person could get hands on congressional seat,1
16172,12-year-old hispanic boy not sure if he's supposed to be looking up to marco rubio,1
53529,overweight woman encased in geo metro,1
20803,adam levine receives promotion to senior lead singer of maroon 5,1
529,yahoo's newfront pulses to steve aoki's edm beat,0
34262,teacher grading papers next to you on plane not pulling any punches,1
13476,the ingredient that's worse than sugar -- and 2 others to watch for,0
35725,"to curb rising costs, experts call for ban on prescription drug ads",0
15698,"'hatchet man' suspect could have ties to murder of teen hikers, police say",0
22855,nationwide art project is making space for historic women in all 50 states,0
22615,queer dance party to protest 'religious liberty' executive order at white house,0
16321,secretary cracks under administration of third raspberry margarita,1
23075,husband points out that he vacuumed,1
27967,conceptual genius goes as self for halloween,1
35135,fd&c blue #5 to restore beauty of world's oceans,1
26684,retreating clinton campaign torches iowa town to slow advance of sanders volunteers,1
27688,"study: child obesity rates declining, but you wouldn't know it looking at macarthur center mall in norfolk, virginia",1
27857,rep. john lewis: trump is not a 'legitimate president',0
28486,"""remembering george haley: the greatest american you've never heard of""",0
46406,boehner opens door to suing obama over iran deal,0
36517,congresswoman invites #metoo creator tarana burke to state of the union,0
48749,dzhokhar tsarnaev courtside at pacers-heat game,1
53672,victoria's secret introduces 3-inch patch of satin to place anywhere on body,1
54831,before-and-after airbrushing image alerts fashion industry to evil of its ways,1
339,no-makeup look easier to achieve than elle claims,1
53146,this initiative aims to give aspiring female filmmakers the chance to work,0
30456,friends star spontaneously shown attending televised nbc sporting event,1
7850,'grey's anatomy' fans launch petition to bring back mcdreamy,0
34843,skip bayless's tweet about gordon hayward's injury stirs outrage,0
36854,new ferguson judge is finally doing something about abusive court,0
11493,determined cat goes through a lot to wrestle with stuffed tiger,0
23981,man kinda excited for internal camera procedure,1
48457,"trump's steel, aluminum tariffs exempt canada, mexico",0
50495,secretary of education under investigation for falsifying hall passes,1
39258,clinton: 'fuck this president shit',1
52791,trumpism enters schools when school officials become the bullies,0
27065,"audio experts confirm whiny, irritating noises in secret recording devin nunes",1
38576,al-qaeda sitcom filmed before live studio hostages,1
8519,elon musk is ready to conquer mars,0
14350,"new congressional intern disillusioned with politics and democracy in record 6 minutes, 41 seconds",1
21247,why a dad was forced to leave the hospital the day his baby was born,0
23550,slower-burning flag introduced,1
3959,slain cop had only 37 years until retirement,1
15024,'ren & stimpy' creator accused of sexually abusing teen girls,0
8007,who else besides joe biden might crash the debate?,0
29803,mental hospital fire leaves hundreds of demons homeless,1
32979,"for 'the interview,' even negative publicity (like a massive sony hack) is good publicity",0
15236,incredible 'business-man' has salary of 10 regular men,1
43565,david lynch finally releases colorized edition of 'eraserhead',1
23559,george r. r. martin kills off whole family,1
31506,the best way to leave 'the bachelor' is by dumping him,0
14882,psychic helps sniff out missing pet skunk,0
39995,breathing polluted air may increase the risk for kidney problems,0
49526,hillary set to move past prelims with roosevelt island address (are the clintons cynics or realists?),0
23840,"obama caves to girl scout lobby, wears tiara in photo",0
47935,israelis and palestinians at harvard: part 9 of 9,0
44292,kushner doesn't want to give up his security clearance as john kelly cracks down: report,0
38203,mother's day card mailed,1
42325,pope criticizes conservatives at key church gathering,0
9508,johnny rockets customer terrified after evidently falling through wormhole into 1950s,1
51802,"the writing life: hugs, peace, and pray",0
47582,house republicans are getting uncomfortable with donald trump's stance on executive overreach,0
12978,gop moderates plot way out of house budget mess,0
22150,speaker ryan's challenger receives $1 million boost,0
36384,all-dad blues band a critical disappointment,1
24626,princess nokia reveals she threw soup on racist subway rider in viral video,0
24850,"rubio lays out new, hardline position on immigration",0
55028,theater: bradley cooper gets ugly; tr knight gets closeted,0
34618,25-pound ham wedged in parents' refrigerator,1
10949,22 terrifying and magical capabilities someone has when you fall for them,0
54298,video game shopkeeper starting to get suspicious after selling 800 bombs to player,1
27523,how to make this glitter eyeliner from fashion week work in real life,0
2984,surgery required for new sexual position,1
37170,rehabilitated otter released back into food chain,1
40908,trump claims substantial portions of the u.s.-mexico laser forcefield have already been built,1
16737,"indira gandhi: 30 years later, not a fond memory",0
48518,chris martin says he and gwyneth paltrow are 'very close',0
43913,here's a genius way to respond to anti-semitism,0
27742,sia's christmas album title contains an awkward grammatical error,0
9676,billionaire paul allen's yacht wrecks cayman islands coral reef,0
33667,trump lawyers dish on russia probe at steakhouse as nyt reporter listens in,0
6229,isis starting to worry new recruit huge psycho,1
4586,"child entertained for 5 minutes by plastic toy that will take 1,000 years to biodegrade",1
29289,troy aikman: i 'knock on wood' hoping i stay healthy after concussions,0
27564,pete buttigieg is the future of the democratic party. but what kind of future?,0
22814,how to overcome social comparison,0
9431,gay couples fight to be included on birth certificates,0
28370,"confronting isil: the day and decade ""after""",0
4933,make time for your own wellbeing: ways to rethink exercise so you'll actually do it,0
34471,"youtuber cringing while watching amateurish early, current work",1
51282,george zimmerman wins florida state lottery,1
49733,study finds people on dates know within 30 seconds if other person is newt gingrich,1
30748,narcissist convinced total strangers would want his organs,1
5522,will new scientific breakthroughs pave the way for more climate-related lawsuits?,0
33447,"bob iger: at disney, we live every day in terror that you'll turn on superhero movies",1
50614,union claims sanders campaign staffers posed as members to influence workers,0
2833,so we might not be getting more prince music after all,0
21381,"if twitter can #addclimatechangetotv, then maybe trump will pay attention",0
38713,thousands march on national mall to demand puerto rico disaster relief,0
29270,man can't help but think he played small part in female coworker's success by not actively sabotaging her career,1
34333,historians reveal thousands of immigrants were forced to change hairstyle at ellis island,1
14372,one little girl beat the deadliest form of tuberculosis. she is very lucky.,0
49697,"my parents know all about my sex life, and it's awkward",0
53837,ice agents hurl pregnant immigrant over mexican border to prevent birth on u.s. soil,1
42045,this comedian's parenting tweets are lol-worthy,0
44542,debate organizers set aside first 15 minutes for whatever major trump revelation comes out between now and then,1
52394,sweat-stain-dating technology unlocks age of assistant managers,1
21333,mrs. butterworth's bottle central to terrifying lsd experience,1
34668,mortician always keeps hammer at tableside just in case one comes back to life,1
22286,'the bold type' creator on tackling sexual assault in the show's hopeful finale,0
40530,"republicans humiliate boehner, tee-up next week's national crisis",0
18958,study: whites to be minority in donaldson family by 2027,1
39869,mitch mcconnell: 'i didn't think president trump had a chance of winning',0
2587,hundreds gather to support kim davis: 'she won't bow',0
51448,daily meditation: finding the sacred,0
47740,report: some people actually very happy,1
53787,look out! there's a 'staff shake-up' looming for the white house,0
50350,tpp is not the answer,0
3395,alcoholic parent easy to shop for,1
50941,man sadly realizes cramped one-bedroom apartment has enough space to host party with all his friends,1
45868,trump asks entire senate to clear out of chamber so he can speak to comey alone,1
6958,bush followed everywhere by line of baby ducks,1
50851,emergency wisdom,0
36143,anthropologists discover ancient greek super pac that helped shape first democracy,1
27980,dinner theater play reworked to push chicken special,1
42772,"city officials warn against flushing feminine hygiene products after finding 8-foot-long, 250-pound tampon lurking in sewers",1
52637,fox news intern fetching coffee tells herself this will all pay off when she trump's secretary of state one day,1
23284,10th-grade class watches ben-hur for two weeks,1
18294,"gluten-free mania -- if you're following the fad, you're a marketer's dream and part of the confusion",0
74,"the vicious knot of syria, the untangling process contains solutions in our time",0
27140,u.s. ethics chief ordered gushing responses to trump's tweets,0
35670,here's exactly why a vote for trump is vote against lgbtq rights,0
50304,dan savage disgusted by letter from perverted reader contemplating oral sex,1
20052,uber escalates war with regulators over self-driving cars,0
38704,best-laid plans of mice mostly cheese-related,1
15889,supreme court votes 7-2 to legalize all worldly vices,1
43091,breadwinner mommies:  are you falling short of your expectations? (or are your expectations falling short?),0
50298,congress reaches compromise to admit district of columbia into union as slave state,1
12697,media organizations make pilgrimage to facebook headquarters to lay content at foot of mark zuckerberg,1
52136,huffpost hill - president eats burrito instead of revealing benghazi truths,0
27059,"grandchild, grandfather equally dreading collaboration for school interview project",1
52000,sleepover guests can only wonder what mysterious delights lie tucked inside off-limits room,1
36884,microsoft is trying to predict the next president,0
45998,uber has a new service and it isn't helping in 'jimmy kimmel' spoof,0
12100,apocalypto star wants to show he can do mayan comedy,1
41341,"from birth control to culturally competent care, affordable care act breaks down health care barriers",0
49693,fifth tool discovered,1
44834,"charles schulz estate releases hundreds of rare, never-before-seen images of him posing next to an easel",1
48428,"trump lawyers anxious 4,731st shoe will drop",1
41924,"as trump kills daca, bannon's breitbart celebrates a major policy win",0
20358,obama practices defiant speech to aliens late at night behind oval office desk,1
35620,patty jenkins is already thinking about a 'wonder woman' sequel,0
20910,corn lobby tightens the screws,1
35332,trump undercuts easy obamacare attack with dig about bill clinton's infidelities,0
46265,photos appear to show richard dreyfuss groping fans backstage,0
3406,"after seeing a fifth-grader get bullied, this group of boys vowed to stand up for him",0
33111,'egyptian jon stewart' bassem youssef introduces 'muslim morning after kit',0
53033,woman attempting to cultivate self-love forced to start completely from scratch after photo where nose looks kind of weird,1
27796,more cats made,1
47938,stone-hearted ice witch forgoes exclamation point,1
37028,man looks on helplessly as friend tells him story he's already heard,1
43445,"aclu sues milwaukee over stop-and-frisk, widening challenge to police practice",0
6722,sight of 400 war elephants on horizon marks hillary clinton's arrival in swing state,1
24044,fcc passes mandatory garofalo/griffin guest-appearance regulation,1
51041,"trade war with u.s. would bring 'disaster' to world economy, china warns",0
20317,why we should care about changes in the pharmaceutical industry,0
7413,"zaire to take some time off, compose itself",1
19481,"fyi, not all moms transform into hardcore tea drinkers on mother's day",0
20371,public school closures are an attack on arkansans of color,0
41693,cleveland ukrainian museum pulling out all stops to prepare for onrush of rnc visitors,1
39761,"roommate, girlfriend never seem to have sex",1
15412,former trump aide sam nunberg says mueller probe 'not a witch hunt',0
6859,how to redefine success like stephen curry,0
50013,the top 10 tips for a better night's sleep,0
27451,nation doesn't know if it can take another bullshit speech about healing,1
36750,foods that are better outside the u.s.,0
45164,ipod flaunted,1
51212,detroit burned down for the insurance money,1
5420,teen jumps on whale shark like it's nbd,0
30875,new jersey's first sikh mayor says he's received death threats,0
45007,"cow ted cruz milking in wisconsin photo op only giving curdled, foul liquid",1
52077,kim jong-un thrown into labor camp for attempting to cross border into south korea,1
39310,watch: stories you won't believe from some of the world's dirtiest jobs,0
49381,father of otto warmbier will attend winter olympics in south korea: report,0
35790,mother feels a little validated after daughter who stayed out late gets murdered,1
9386,"new york giants clean house, fire coach ben mcadoo, gm jerry reese",0
54319,"7 reasons why we love patrick stewart, on his 75th birthday",0
41000,new spiritually correct doll lets children show where and how jesus touched them,1
1692,missing girl elected to aruban parliament,1
52218,this water bottle for bikes turns air into water as you ride,0
45195,"naked, dripping wet tom brady thrilled by judge's decision to overturn suspension, imagines judge",1
12390,fishermen hook 2 massive great whites off carolinas,0
18335,report: kerry warns israel could become 'apartheid state',0
14516,republicans outraged by inaccuracies in metallica documentary,1
3080,climate change and children: a call for action,0
19530,"on emmett till, black death spectacle, and cultural (mis)appropriation",0
34925,"to avoid disaster in syria, the u.s. should learn from iraq",0
48845,"twitter 'verifies' jason kessler, organizer of charlottesville white supremacist rally",0
3986,open floor plan increases office shooter's productivity by 95%,1
2322,awkward encounter not awkward at all when masturbated about,1
44545,white house ficus to leave for virginia arboretum after declining trump's offer to be chief of staff,1
5668,'phantom thread' wins academy award for best film you liked but probably wouldn't see again,1
7332,direct marketer offended by term 'junk mail',1
41344,redundancy built into tv show to protect against failure,1
46230,seth meyers shreds gop hypocrisy over donald trump's attacks on amazon,0
10699,mike pence horrified by d.c. cherry trees flagrantly displaying reproductive organs,1
46884,bill cosby mug shot released,0
44112,entire meal prep for week eaten by tuesday,1
6107,virginia board votes to amend harsh abortion clinic regulations,0
47547,senate's proposed 2016 budget turns a deaf ear to the needs of young families,0
7404,sharon stone auctioned off to german conglomerate,1
9375,gisele bündchen makes history with a makeup-free vogue italia cover,0
9399,the best 'lazy games' for exhausted parents to play with their kids,0
36196,nbc to dramatize menendez brothers murders in 'law & order: true crime' spinoff,0
16649,kinky lawn chair likes leaving woman with marks all over her legs,1
30419,sen. hatch says trump allegations not serious enough that scales should fall from eyes revealing what madness we have begotten,1
33015,wolf blitzer debuts new real-time election results beard,1
24862,tiger attacks and kills zookeeper at an animal park in spain,0
31913,cathedral moves sculpture because texters keep bumping into it,0
27160,local welder suffering from welder's block,1
26478,number of songs gop candidates can use down to 4,1
29765,john legend goes in chrissy teigen drag to reenact twitter feuds with trevor noah,0
37263,suspects chased by cops spin doughnuts on hollywood street,0
37980,you need to watch this toddler reenact 'the fresh prince of bel-air' intro,0
48130,scientists announce discovery of dry ice on mars means planet may one day be suitable for halloween party,1
17665,"daytime-talk-show mixup leads to 1,000-pound- man makeover",1
17462,5 tips to help you deal with an estranged child,0
35444,barbara bush calls white house to see if she can leave husband there for few hours,1
6885,america gets set to enjoy month or so of libya seeming like symbol of freedom,1
50039,olivia wilde's post for her daughter's birthday is filled with girl power,0
34233,obama purchases ad space on side of mccain's bus,1
5583,women: why don't they lose some weight?,1
13225,why azealia banks will never redefine 'faggot',0
22908,prince harry: 'i killed taliban-looking people',1
11585,waiting-room copy of people brings area man up to speed on paris hilton,1
49139,jessica simpson's adorable daughter adorably heads to pre-k,0
16166,justice department: 'want to see a dead body?',1
12611,curiosity rover frantically driving around mars to make it look like it's been busy before new spacecraft arrives,1
12093,nelson mandela evidently thinks world's journalists have nothing better to do than wait around like idiots,1
31277,12 stylish easter ideas that go beyond the holiday,0
53976,study: 84% of couples who walk around exploring new neighborhood never make it home,1
42172,new liver can really handle its scotch,1
30043,learning from a complex communications experiment in my own home,0
29407,giving kimye a run for their money ...,0
12848,"6,000-year-old culture now a 'developing nation'",1
53332,pepsico marketing mix-up results in $300 million lemon-lime doritos campaign,1
43010,8 things you didn't know about katy perry,0
55137,kids with allergies are more likely to have anxiety and depression,0
6154,wyclef jean is still totally down for a fugees reunion,0
21200,civil rights groups pressure senate to reject trump's supreme court nominee,0
13358,the military can't come up with a name for its war against isis. we're here to help.,0
3544,all flights grounded after faa officials suddenly realize that man was not meant to fly,1
39210,indian-american couple's accent makes fight adorable,1
15895,the 21 stupidest things ever said by powerful people,0
9600,chartering the 90 miles: millennials in cuba and the u.s.,0
18565,these award-winning wedding photos stand out from the pack,0
27755,gluten-free pancake mix just a bag of sand,1
1960,"a year after a coward killed the charleston 9, bible study continues",0
39731,area priest to get out of priesthood as soon as parents die,1
31687,nation hears voices encouraging it to buy gun,1
474,"kendrick lamar, taylor swift and the weeknd lead the 2016 grammy nominations",0
53706,5 months of college research outweighed by weekend visiting friend at penn state,1
35215,spider-man mask spices up blind date,1
17428,soldier hoping we invade someplace tropical next,1
1344,police continue search for missing gunman,1
46121,pence visits conversion therapist for routine gay-preventative checkup,1
34182,buddy system responsible for additional death,1
22587,laurie hernandez earns the season's first perfect score on 'dancing with the stars',0
17647,"climate change: 2014 hottest yet, oceans threatened, solar trees, and more!",0
41310,john oliver is surprised dustin hoffman didn't expect harassment questions,0
16179,cuban army honors fidel castro with 21-gun firing squad,1
46917,barber just latest in string of humans to feign interest in what area man says,1
26313,slain teacher told his fiancee what to say if he died in a school shooting,0
43953,"""they said, i'm sorry, because you weren't physically injured, you can't go to the private events.""",0
25158,changing the human narrative,0
24627,senior citizen keeps mind active by contemplating death,1
30379,fourth-grader with shark tooth necklace must have killed great white,1
43792,no man in u.s. history has ever done what bill clinton is about to do,0
30016,7 things i learned while making a movie about pregnancy loss,0
28395,guilt-ridden stacey abrams wondering when she should tell democrats that she lost her election,1
9615,darrell issa retiring from congress,0
9684,astronomers discover extremely graphic galaxy,1
44847,"brad pitt's despondent weatherman is 'so, so, so, so scared' right now",0
51996,fox news host: donald trump could get corporate sponsors for his wall,0
2787,another gop congressman calls for special prosecutor to probe russia's election meddling,0
50055,third-grader watching another year of back to school commercials suddenly realizes he'll die one day,1
7318,commerce secretary urges nation to get in on piece of the action,1
33215,apartment broker recommends brooklyn residents spend no more than 150% of income on rent,1
45371,"bernie sanders draws more than 20,000 people at boston rally",0
51774,greenspan just repeating detractors' criticisms in high-pitched girly voice,1
10472,second-grader likes to save purple pills for last,1
44140,colton dixon on what it was like to be an extra in 'hannah montana: the movie',0
14118,why we don't know the size of the transgender population,0
34876,jeff ross asked selena gomez for advice on roasting justin bieber,0
43259,what do non-farm payroll & interest rates mean for real estate?,0
42344,bungling bicycle-riding robbery suspect is foiled by wet weather,0
1612,red carpet organizers regret only renting one porta potty,1
21346,pet turtle going hog wild on terrarium's new stick,1
15919,inspire the world,0
16782,nevada politician: getting an abortion was 'the right decision' for me,0
29156,masked vigilante takes terrorizing black community into own hands after local law enforcement fails to do so,1
8468,7 clever ways to corral your cords and wires,0
41489,hulk hogan donates hair to lucky locks of love recipient,1
51300,report: 38% of road trips end with burying friend in shallow grave in desert,1
4800,maryland is beating most nations in olympic gold medals,0
54242,mayim bialik is 'very sorry' for her controversial weinstein op-ed,0
36259,"new year, new semester: college prep for juniors",0
8905,civil rights movement network law is a much-needed tool,0
50133,donovan mitchell uses footwear to send powerful message about gun violence,0
35187,liberal activists encourage citizens to call their late-night hosts and urge them to oppose tax plan,1
19682,nasa celebrates 60th anniversary of launching first moon to orbit earth,1
20517,carol blows up 'the walking dead' season premiere,0
42592,aviva sees the light,0
5679,sammy davis jr. handled his oscar flub like a boss,0
41853,study suggests onion social notifications 300 times more satisfying to receive than facebook notifications,1
44559,congress not sure what it did to make trump think it wouldn't roll over for whatever he wants in syria,1
20280,the overselling of ed tech,0
19801,mike pence to anti-abortion crowd: trump's supreme court pick will be in the mold of antonin scalia,0
4628,syrian rebels to exit aleppo as truce begins,0
45211,switzerland passes u.n. inspection after erecting fire escape on matterhorn,1
35056,mother only wants one bite,1
3258,bruce springsteen takes powerful stance amid trump's immigration ban,0
1478,study: boyfriends who aren't speaking are thinking about ending relationship 90% of time,1
5502,shitty human being blames decreased daylight this time,1
247,"new instant lottery game features three ways to win, 19,839,947 ways to lose",1
11779,mother can't believe 10-year-old has already outgrown mobility scooter,1
15054,fbi releases list of criminals it in no particular rush to track down,1
20283,one way to make college worth it: help students feel like someone cares about them,0
1165,"jimmy kimmel can't soften daca opponents, even with a cute baby",0
